language,consonants,phonemes
Loniu,16,23
Cavinena,20,24
Kuy,22,47
Chong of Chanthaburi,21,40
North Junin Quechua,19,25
Elip,19,30
Shina,35,48
Iraqw,33,45
Panoan Katukina,15,19
South Wa,34,77
Ebira,19,31
Paite Chin,19,25
Nyambo,20,33
Plateau Malagasy,31,36
Kumaoni,31,42
Kohumono,28,38
Amahuaca,14,22
Siar-Lak,15,22
Nimboran,12,18
Mapudungun,20,26
German,22,41
North Marquesan,12,22
Makaa,30,55
Satawalese,29,42
Önge,16,24
South Bolivian Quechua,32,37
Toro So Dogon,16,28
Ho,24,43
Irish,45,69
Central Kanuri,25,35
Javanese,21,29
Nateni,13,40
Ulwa,22,28
Jamsay Dogon,37,60
Maria (India),22,39
Ejagham,19,29
Ute-Southern Paiute,19,37
Mogholi,24,29
Itbayat,19,23
Waima,9,14
Mapudungun,20,26
Bakaka,19,34
Wyandot,11,17
Hoti,21,35
Awngi,30,39
Zoogocho Zapotec,28,65
Pinyin,42,66
Tagalog,18,28
Mescalero-Chiricahua Apache,31,51
Ngas,24,36
Gujari,32,50
Lamnso',26,45
Guaja,12,24
Tadaksahak,59,70
Selaru,14,19
Katcha-Kadugli-Miri,41,63
Ibani,25,38
Giryama,40,47
Chamacoco,21,37
Cavinena,20,24
Ahtena,30,35
Araona,19,23
Cebaara Senoufo,24,43
Ambulas,17,24
Kwami,28,40
Kangri,29,41
Ewe,26,40
Paraguayan Guarani,24,36
Comox,37,42
Kakua,12,22
Bafaw-Balong,27,47
Tasomi-Tata,14,21
Egyptian Arabic,58,67
Klamath-Modoc,33,37
Bribri,18,27
Ncane,17,41
Ninam,13,25
Ninam,12,18
Gbaya-Bossangoa,31,45
Ntcham,21,30
Uri,16,24
Parkwa,31,35
Gbesi Gbe,31,47
Duruma,42,49
Seneca,11,27
Gwandara,32,52
Tee,23,38
Peve,30,38
Moro,22,29
Arawete,12,21
Taroko,33,43
Nukak Maku,12,24
Waama,13,41
Huastec,26,36
Khasi,19,28
English,27,40
Luwo,19,32
Central Nicobarese,16,35
Luchazi,32,42
Bilin,31,38
Japreria,14,20
Arikapu,11,25
Chibcha,16,22
Koalib-Rere,29,45
Lu,22,31
Guro,26,57
Cayubaba,17,33
Kemezung,20,34
Seimat,11,28
Sumbwa,20,32
Hausa,31,38
Halkomelem,32,47
Moken,22,32
Telugu,40,51
Tigon Mbembe,99,116
Nyeu,20,40
Eastern Panjabi,50,73
Iu Mien,35,49
Kala Lagaw Ya,18,24
Masalit,31,45
Mizo,33,39
Armenian,30,36
Norwegian Bokmal,22,46
Vietnamese,21,39
Yuqui,20,40
Nawuri,29,40
Soqotri,28,34
Sentani,10,17
Alawa,22,26
Central Bai,18,29
Akan,22,40
Gunwinggu,19,24
Tanacross,35,54
Bashkir,27,38
Nyankole,20,28
Ronga,64,69
Mpade,30,40
Copainala Zoque,26,32
Didinga,36,58
Tilquiapan Zapotec,22,30
Eton-Mengisa,21,38
Idoma,47,75
Northern Bobo Madare,20,40
Kofyar,23,36
Pilaga,18,22
West Coast Bajau,17,23
Irish,44,68
Andoa,15,25
Yoruba,19,31
Lakota,28,36
Irula,31,52
Bouyei,24,38
Guato,17,25
Hakka Chinese,21,31
Moken,20,38
Acoli,17,29
Cameroon Mambila,24,40
Upper Chehalis,30,34
Loma (Liberia),21,51
Sandawe,44,64
Northwest Gbaya,30,53
S'gaw Karen,27,39
Korku,26,37
Sissano,37,46
Saraiki,48,83
Nigerian Fulfulde,28,38
Ewe,27,42
Wayana,9,16
Bassari-Tanda,21,30
Tolowa-Chetco,29,44
Bamun,28,38
Pemon,10,17
Mawa (Chad),24,33
Hadza,57,62
Nugunu (Cameroon),24,35
Mmaala,23,34
Wan,21,36
Bench,29,40
Izi-Ezaa-Ikwo-Mgbo,29,40
Esimbi,29,37
Shuar,13,21
Upper Guinea Crioulo,23,28
Southern-Coastal Tsimshian,38,41
Kharia,31,41
Baruga,14,24
Vaagri Booli,23,37
Usan,14,20
Mori Bawah,22,27
Vengo,56,82
Surui,19,29
Ekari,10,15
Mamainde,14,34
Markweeta,13,36
Eastern Low German,23,37
Tsafiki,16,26
Koyaga,29,43
Urubu-Kaapor,15,26
Anfillo,38,48
Matses,15,21
Yamana,15,20
