language,consonants,phonemes
North Moluccan Malay,21,27
Tachelhit,28,31
Kuanyama,26,33
Kazym-Berezover-Suryskarer Khanty,19,32
Tatuyo,11,17
Suya,13,28
Hamer-Banna,25,35
Irarutu,12,19
Siriono,18,30
Inapari,13,31
Acheron,18,38
Panoan Katukina,15,19
Ngas,30,44
Sherbro,24,31
Itonama,19,25
Nez Perce,26,36
Awa-Cuaiquer,14,21
Mundari,32,37
Tsuvadi,38,52
Bambassi,23,36
S'gaw Karen,27,39
Moru,26,38
Cebaara Senoufo,24,43
Maxakali,10,20
Warray,16,21
Buol,17,23
Önge,16,24
Sandawe,44,64
Bena (Tanzania),22,34
Kanga,54,76
Wichi Lhamtes Nocten,23,28
Michif,25,41
Gavar,47,55
Pottangi Ollar Gadaba,22,34
Yawalapiti,17,21
Kharia,31,36
Dizin,24,30
Kambaata,49,59
Emai-Iuleha-Ora,27,48
Choctaw,15,21
Nyam,39,56
Salasaca Highland Quichua,23,26
Ute-Southern Paiute,19,37
Tigre,47,54
Modern Greek,21,26
Budu,31,43
Yanesha',23,26
North Giziga,29,37
Barbareno,34,40
Piapoco,15,19
Koshin,23,37
Hadiyya,46,56
Iquito,11,19
Kharia,31,45
Nyahkur,26,50
Culina,17,21
Nung (Viet Nam),21,32
Gwandara,35,64
Eastern Pahari,27,39
Swahili,31,36
Nootka,37,47
Leco,24,30
Central-Eastern Niger Fulfulde,27,37
Djeoromitxi,14,24
Hanga Hundi,16,23
Kakua,12,22
Assamese,22,37
Camsa,21,27
Xokleng,19,37
Qimant,28,39
Juang,19,29
Northern Frisian,23,42
Sharanahua,15,23
Arhuaco,16,32
Siksika,13,25
Ngwe,24,38
Abipon,13,23
Totontepec Mixe,14,23
Juma,12,24
Itonama,19,25
Sidamo,25,35
Carapana,11,23
Maltese,45,55
Santali,35,46
Samba Leko,22,34
Koasati,15,25
Chechen,32,44
Maranao,13,17
Jungle Inga,13,16
Tigrinya,32,39
Southern Bobo Madare,19,38
Wamey,39,46
Belanda Viri,28,43
Izere,27,39
Karaja,9,24
Caddo,20,23
Liko,33,45
Degema,24,36
Aproumu Aizi,24,33
Ewe,28,45
Thai,21,30
Ndonga,29,36
Yanomamo,11,32
Batak Karo,16,24
Fwe,49,59
Oroko,22,29
Kako,33,50
Southern Tiwa,26,41
Ndali,17,31
Tulu,23,35
Galo,17,29
Galibi Carib,16,28
Secoya,12,18
Kxoe,95,120
Itelmen,27,32
Wantoat,14,21
Tumtum,39,55
Jebero,17,21
Amundava,14,26
Urdu,35,54
Akoose,22,44
Yagaria,14,23
Lemeting,19,25
Mandarin Chinese,27,43
Javanese,22,30
Eastern Ojibwa,16,27
Hopi,31,49
Fulnio,21,33
Yuracare,18,25
Lumun,17,35
Duruma,40,47
Muyang,27,46
Northern Yukaghir,20,26
Kol (Cameroon),28,55
Kayapo,16,33
Tolowa-Chetco,26,31
Izi-Ezaa-Ikwo-Mgbo,27,38
Muniche,22,27
Waimaha,11,25
Min Nan Chinese,19,25
Sursurunga,15,21
Hopi,22,28
Muinane,22,28
Siar-Lak,15,22
Mawa (Chad),24,33
Glavda,34,43
Tunica,18,25
Manado Malay,19,25
Wayampi,14,26
T'apo,20,25
Che,30,57
Lahu,26,35
Slovenian,21,37
West Coast Bajau,17,23
Giryama,40,47
Kunama,19,26
Nimboran,12,18
Tagalog,19,24
Kinnauri,31,46
Tera,42,48
Gujari,35,54
Bini,25,48
Koyraboro Senni Songhai,23,37
Balti,35,53
Mundu,29,41
Fon,24,42
Vagla,24,54
Mambai,26,54
Pa'o Karen,20,34
Bambara,20,43
Tol,22,28
Chachapoyas Quechua,15,18
Ewondo,15,25
Macaguan,16,22
Daloa Bete,24,37
Bakaka,16,32
Kiowa,22,42
Mumuye,23,34
Sumi Naga,35,46
Bashkir,27,38
Makaa,30,55
Siriano,11,23
Luwo,19,32
Paraguayan Guarani,24,36
Pwo Northern Karen,23,52
Xipaya,14,23
Yuki,24,30
Qawasqar,18,24
Awadhi,37,45
Yuchi,38,49
Ticuna,18,29
Defaka,18,42
Xiriana,19,24
Kayabi,14,26
Luchazi,32,42
Ese Ejja,17,21
Southern Samo,18,26
Plateau Malagasy,31,36
Jauja Wanca Quechua,16,22
Ligbi,22,38
