sound,f1,f2
ɪ,399.302553,2010.40785
ɪ,418.64441,2179.26597
ɪ,432.792167,2065.973635
ɪ,428.697901,2070.990615
ɪ,421.328632,2080.191022
ɪ,424.208828,2041.026994
ɪ,432.771641,2061.046136
ɪ,410.960467,2017.524764
ɪ,374.389526,1980.682144
ɪ,380.876206,1830.991136
ɪ,396.884461,1933.667961
ɪ,402.233923,1851.661943
ɪ,498.682404,1717.534094
ɪ,539.403723,1718.094521
ɪ,549.274035,1721.118
ɪ,557.952325,1633.877653
ɪ,562.679778,1491.2299
ɪ,495.589231,1433.079599
ɪ,450.928504,1990.370777
ɪ,460.086938,1932.74129
ɪ,474.343316,1869.062606
ɪ,476.72353,1796.153985
ɪ,474.123514,1735.293015
ɪ,464.647354,1680.360049
ɪ,444.442766,1556.232019
ɪ,448.347791,1917.922157
ɪ,460.285328,1854.47977
ɪ,449.05698,1706.87311
e,455.78546,1450.583735
e,464.759075,1420.384739
e,465.830684,1395.628582
e,472.154845,1363.143999
e,465.532292,1331.185438
e,460.209911,1250.600046
e,461.095756,1059.064576
e,460.58709700000003,1216.232958
e,461.641683,1146.600757
e,464.369651,1086.654831
e,468.31487,1132.241714
e,473.710759,1162.910628
e,473.666738,1161.693205
e,469.073628,1214.662133
e,458.889465,1190.748752
e,439.836895,1160.96429
e,425.36795,1105.113655
e,441.291434,1105.315826
e,465.039968,1010.812261
e,474.584005,1148.655918
e,481.600999,1140.912619
e,479.551874,1103.830613
e,474.366445,1037.12344
e,486.623279,1162.913994
e,436.525302,1299.028777
e,461.509629,1498.357382
e,475.065185,1471.7015489999999
e,475.110251,1438.983211
e,478.058894,1409.808968
e,475.588798,1354.659126
e,473.331478,1337.442679
e,470.622481,1295.767945
e,461.052279,1260.937885
e,459.573919,1220.268146
e,467.857541,1247.62277
e,472.938223,1254.609443
e,476.180522,1235.341002
e,467.674187,1212.892685
e,457.66687,1084.488416
e,441.688229,1081.986354
e,174.076911,1306.673788
e,465.765088,1383.446872
e,479.640898,1369.513491
e,479.091454,1341.326883
e,483.399969,1337.827371
e,488.213392,1326.108053
e,486.995852,1239.621553
e,490.451067,1040.789678
e,488.544102,1169.625683
e,486.53332,1142.747864
e,482.748766,1087.195876
e,486.473894,1121.421216
e,486.864228,1124.457304
e,482.929512,1096.954506
e,481.305214,1106.550862
e,471.822089,1088.193287
e,466.225064,1098.442793
e,454.108268,1092.532201
e,461.042595,1079.818239
e,466.801436,1024.61709
e,465.277058,1050.240394
e,450.414502,1383.465905
e,452.160019,1448.303469
e,437.025464,1458.706782
e,413.853551,1226.986312
e,432.248491,1324.048187
e,382.082147,1293.838423
e,359.936316,1280.263596
e,457.790514,1435.566324
e,466.802605,1418.169164
e,472.246552,1375.546412
e,467.537904,1355.181984
e,446.951336,1329.741536
e,447.827185,1374.424447
e,468.251511,1374.857663
e,461.917036,1449.486929
e,447.938603,1476.555439
e,447.421229,1476.393095
e,432.941777,1489.935028
e,434.248222,1468.094607
e,438.643869,1375.729945
e,467.832759,1369.125725
e,491.3646,1373.05924
e,475.401551,1364.047493
e,455.856905,1341.976618
e,430.555873,534.846158
e,425.889961,1355.610556
e,439.464282,1345.29973
e,447.991753,1366.930142
e,439.58801,1368.247501
e,434.325975,1362.840896
e,434.356933,1336.512742
e,439.41156,1350.683887
e,440.175922,1350.292767
e,415.325137,1334.378887
e,421.651373,1284.412529
e,419.663753,1248.845158
e,394.268565,1260.050017
e,376.218718,1301.84615
e,389.193008,1287.672659
e,414.78727,1432.077027
e,423.980145,1438.225745
e,419.904166,1446.198723
e,414.766381,1426.100852
e,413.836755,1401.168479
e,420.758413,1382.882207
e,436.930163,1429.623834
e,450.306471,1356.302229
e,446.990961,1343.271746
e,452.960776,1335.712144
e,455.425117,1307.058658
e,451.47823,1333.329214
e,443.350507,1340.809107
e,446.683846,1324.440683
e,456.751301,1314.328646
e,444.980399,1316.875294
e,432.837345,1282.556178
e,420.163578,1287.747542
e,429.003846,1449.925295
e,445.269063,1459.233133
e,448.560788,1449.607527
e,459.658911,1442.900622
e,457.937691,1413.023488
e,462.689641,1421.599849
e,468.195268,1402.880411
e,466.365785,1373.612506
e,465.573755,1371.948225
e,463.980936,1358.757936
e,455.277788,1329.984298
e,449.591133,1314.543883
e,450.637021,1316.755062
e,452.157758,1301.341886
e,453.880049,1273.04029
e,423.3587,1258.831803
e,430.233749,1261.875621
e,434.013618,1240.917742
e,440.252008,1225.59898
e,453.020261,1193.606465
e,453.119199,1082.535831
e,450.709382,1524.67978
e,452.663531,1424.930869
e,446.520951,1352.337125
e,450.941692,1323.560272
e,466.907815,1366.450602
e,482.33227,1381.129633
e,478.862538,1375.633557
e,470.958235,1369.789217
e,465.906014,1256.283192
e,465.769162,1382.643048
e,468.484777,1385.674574
e,448.465651,1348.029558
e,462.426207,1335.037071
e,470.482603,1310.59635
e,475.76754,1307.239965
e,475.569056,1287.320813
e,473.628223,1367.622121
e,472.089156,1410.46565
e,470.229853,1381.516219
e,460.011254,1382.961995
